id,name,category,icon,description,platform,rating,download_url,features,tips
1,Naver Maps,Navigation,🗺️,"The most accurate and up-to-date map of Korea. Used by locals daily.","iOS, Android",4.8,"https://map.naver.com","Real-time transit info|Walking & driving directions|Bus & subway routes|Restaurant & shop reviews","Switch to English in settings. More accurate than Google Maps in Korea."
2,Kakao T,Transportation,🚕,"Korea's #1 ride-hailing and taxi app. Available nationwide.","iOS, Android",4.7,"https://kakaot.kakao.com","Taxi booking|Designated driver|Bike rental|Real-time tracking","Add a card beforehand to skip cash hassle. Cheaper than regular taxis."
3,Papago,Translation,🌐,"Naver's AI translator. Best accuracy for Korean ↔ English.","iOS, Android",4.6,"https://papago.naver.com","Text translation|Voice translation|Camera translation|Conversation mode","Use the camera mode to translate menus instantly — it's a lifesaver."
4,Coupang Eats,Food Delivery,🍜,"Korea's biggest food delivery platform with massive selection.","iOS, Android",4.5,"https://www.coupangeats.com","Food delivery|Real-time tracking|Wide restaurant selection|Reviews & ratings","Even convenience store items can be delivered within 30 minutes."
5,KakaoTalk,Messaging,💬,"Korea's national messaging app. Almost everyone uses it.","iOS, Android",4.7,"https://www.kakaocorp.com","Free messaging|Voice & video calls|Group chats|Payment via KakaoPay","Use the 'Plus Friends' feature to get info from official tourism accounts."
6,Subway Korea,Transit,🚇,"Comprehensive subway guide for all major Korean cities.","iOS, Android",4.4,"https://www.smrt.co.kr","Offline subway maps|Route planning|Transfer guidance|Last train times","Download offline maps before traveling underground where signal is weak."
7,Mangoplate,Dining,🍽️,"Korea's Yelp — curated restaurant reviews by food enthusiasts.","iOS, Android",4.3,"https://www.mangoplate.com","Restaurant search|Curated reviews|Neighborhood guides|Bookmark lists","Filter by 'Foreigner Friendly' to find English-menu restaurants easily."
8,Korail Talk,Rail,🚄,"Official KTX & intercity train booking app from Korea Rail.","iOS, Android",4.2,"https://www.letskorail.com","KTX ticket booking|Seat selection|Schedule search|E-ticket","Book popular routes (Seoul-Busan) at least a day ahead, especially weekends."
9,Visit Korea,Tourism,🏯,"Official tourism app by the Korea Tourism Organization.","iOS, Android",4.1,"https://www.visitkorea.or.kr","Tourist spot guides|Events calendar|Tour packages|Audio guides","Check the events calendar — many free cultural events happen year-round."
10,Baemin,Food Delivery,🛵,"Korea's beloved food delivery app, known for great UX.","iOS, Android",4.6,"https://www.baemin.com","Food delivery|Convenience stores|Mart items|Order tracking","Has an English mode — great for ordering Korean fried chicken late night."
